run_id,seed,command,checkpoint,status
run::M_ALL::measurement_repeatability::seed11,11,conda run -n kite-train python scripts/08_eval_all.py --config configs/exp/measurement_repeatability/seed11.yaml,checkpoints/exp/measurement_repeatability/m_all/seed11/checkpoint.json,completed
run::M_ALL::measurement_repeatability::seed22,22,conda run -n kite-train python scripts/08_eval_all.py --config configs/exp/measurement_repeatability/seed22.yaml,checkpoints/exp/measurement_repeatability/m_all/seed22/checkpoint.json,completed
run::M_ALL::measurement_repeatability::seed33,33,conda run -n kite-train python scripts/08_eval_all.py --config configs/exp/measurement_repeatability/seed33.yaml,checkpoints/exp/measurement_repeatability/m_all/seed33/checkpoint.json,completed
