run_id,seed,command,checkpoint,status
run::M1_M2_M3::throughput_vs_energy_vs_ipwblend::seed11,11,conda run -n kite-train python scripts/train_rl.py --config configs/exp/throughput_vs_energy_vs_ipwblend/seed11.yaml,checkpoints/exp/throughput_vs_energy_vs_ipwblend/m1_m2_m3/seed11/checkpoint.json,completed
run::M1_M2_M3::throughput_vs_energy_vs_ipwblend::seed22,22,conda run -n kite-train python scripts/train_rl.py --config configs/exp/throughput_vs_energy_vs_ipwblend/seed22.yaml,checkpoints/exp/throughput_vs_energy_vs_ipwblend/m1_m2_m3/seed22/checkpoint.json,completed
run::M1_M2_M3::throughput_vs_energy_vs_ipwblend::seed33,33,conda run -n kite-train python scripts/train_rl.py --config configs/exp/throughput_vs_energy_vs_ipwblend/seed33.yaml,checkpoints/exp/throughput_vs_energy_vs_ipwblend/m1_m2_m3/seed33/checkpoint.json,completed
