run_id,seed,command,checkpoint,status
run::M4_RUNTIME_PPO::runtime_control::seed11,11,conda run -n kite-train python scripts/train_rl.py --config configs/exp/runtime_control/seed11.yaml,checkpoints/exp/runtime_control/m4_runtime_ppo/seed11/checkpoint.json,completed
run::M4_RUNTIME_PPO::runtime_control::seed22,22,conda run -n kite-train python scripts/train_rl.py --config configs/exp/runtime_control/seed22.yaml,checkpoints/exp/runtime_control/m4_runtime_ppo/seed22/checkpoint.json,completed
run::M4_RUNTIME_PPO::runtime_control::seed33,33,conda run -n kite-train python scripts/train_rl.py --config configs/exp/runtime_control/seed33.yaml,checkpoints/exp/runtime_control/m4_runtime_ppo/seed33/checkpoint.json,completed
