experiment,reason,count,fraction
runtime_vs_static_comparison,syntax_error,2,0.0667
runtime_vs_static_comparison,forward_arity_mismatch,2,0.0667
runtime_vs_static_comparison,missing_modelnew,2,0.0667
runtime_vs_static_comparison,compile_fail,3,0.1
runtime_vs_static_comparison,correctness_fail,9,0.3
runtime_vs_static_comparison,oom,3,0.1
runtime_vs_static_comparison,timeout,4,0.1333
runtime_vs_static_comparison,shape_mismatch,4,0.1333
runtime_vs_static_comparison,invalid_import,1,0.0333
